Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
39229,0.30625,3,2,43496,31-1 3 2,Indirect Search,109.36,29.79,89.08,66.35,63.66,4.86,2.99,0.16,2,41.02553421,0
39229,0.306944444,3,2,31-2*,31-2 3 2,Not Recognized,216.81,19.29,101.86,68.7,73.24,5.56,5.28,0.19,0,54.35373858,0
39229,0.308333333,3,2,11689,32-1 3 2,Random Search,2994.49,16.59,995.19,52.45,84.06,40.97,60,0.24,0,76.4718222,0
39229,0.309027778,3,2,11720,32-2 3 2,Random Search,124.5,34.4,146.21,48.52,80.85,13.19,4.25,0.36,0,26.25493008,0
39229,0.310416667,3,3,43496,31-1 3 3,Scanning,3056.37,19.88,1192.1,52.67,86.48,63.89,59.95,0.09,1,57.93049107,0
39229,0.311805556,3,3,11355,31-2 3 3,Scanning,640.07,19.51,375.17,38.33,92.89,25.69,19.23,0.56,1,15.66596254,0
39229,0.313194444,3,3,11689,32-1 3 3,Random Search,1877.24,15.49,562.79,54.9,86.5,43.75,36.34,0.08,0,43.74546997,0
39229,0.313888889,3,3,11720,32-2 3 3,Random Search,448.8,31.12,230.01,67.59,89.99,13.89,7.39,0,0,86.62728946,0
39229,0.315277778,3,4,43496,31-1 3 4,Random Search,3049.87,14.4,863.38,51.74,82.11,47.22,59.97,0.04,0,52.22896085,0
39229,0.315972222,3,4,11355,31-2 3 4,Random Search,251.97,26.38,149.06,49.44,88.21,12.5,5.65,0.1,0,21.59047016,0
39229,0.316666667,3,4,11689,32-1 3 4,Not Recognized,318.32,18.88,146.33,47.1,104.12,9.72,7.75,0.03,0,63.70871765,0
39229,0.318055556,3,4,11720,32-2 3 4,Random Search,138.35,34.74,153.21,35.57,105,12.5,4.41,0.13,0,36.27065228,0
39229,0.323611111,3,1,12055,33-1 3 1,Random Search,238.2,37.09,217.34,41.05,110.83,13.19,5.86,0,0,85.04254552,0
39229,0.325,3,1,12086,33-2 3 1,Random Search,2528.3,21.06,1262.59,42.22,90.27,63.19,59.94,0.17,0,30.67700687,0
39229,0.327083333,3,1,12114,33-3 3 1,Random Search,2222.81,23.7,1420.6,37.11,90.07,60.42,59.95,0.24,0,121.58293,0
39229,0.327777778,3,1,12145,33-4 3 1,Random Search,1018.07,22.79,691.24,33.63,95.96,44.44,30.33,0.32,0,123.0232301,0
39229,0.329166667,3,2,12055,33-1 3 2,Scanning,1936.68,20.59,806.37,50.5,91.04,61.81,39.17,0.09,1,29.90020527,0
39229,0.329861111,3,2,12086,33-2 3 2,Random Search,365.58,18.29,155.81,48.57,97.35,14.58,8.52,0.05,0,57.34491154,0
39229,0.33125,3,2,12114,33-3 3 2,Scanning,1917.34,18.57,1113.77,32.9,89.01,62.5,59.97,0.34,1,42.54377843,0
39229,0.331944444,3,2,12145,33-4 3 2,Random Search,364.71,23.73,219.76,43.71,99.95,14.58,9.26,0.29,0,59.17374528,0
39229,0.333333333,3,3,12055,33-1 3 3,Random Search,301,21.5,151.57,58.56,79.21,15.28,7.05,0.25,0,50.54755089,0
